"id","product_code","product_name","product_type","product_desc","status","del_flag","remark","create_id","create_name","create_time","update_id","update_name","update_time"
"43","12220004905","ZYD-V上盖 SLD8.605.3301","-1","ZYD-V上盖 SLD8.605.3301","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"44","12220003508","ASZ-天线罩 631841-1","-1","ASZ-天线罩 631841-1","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"45","12220004129","RFS-天线罩JK 30024860","-1","RFS-天线罩JK 30024860","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"46","12220000663","ASZ-天线罩 D805-0386","-1","ASZ-天线罩 D805-0386","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"47","12220004273","ASZ-天线罩 627818-1","-1","ASZ-天线罩 627818-1","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"48","12220000731","ASZ-天线罩C 648201-2432","-1","ASZ-天线罩C 648201-2432","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"49","12220001768","RFS-天线罩 30039395","-1","RFS-天线罩 30039395","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"50","12220007522","RFS-天线罩（ASA）20052572","-1","RFS-天线罩（ASA）20052572","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"51","12220007997","ASZ-ASA天线罩 640871-1","-1","ASZ-ASA天线罩 640871-1","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"52","12220001862","RFS-天线罩 20046579","-1","RFS-天线罩 20046579","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"53","12220004598","RFS-天线罩 30042191","-1","RFS-天线罩 30042191","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"54","12220005022","RFS-天线罩 20048778","-1","RFS-天线罩 20048778","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"55","12220000664","ASZ-天线罩 628442-1","-1","ASZ-天线罩 628442-1","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
