"id","customer_name","customer_desc","status","del_flag","remark","create_id","create_name","create_time","update_id","update_name","update_time"
"89","大连润德兴业科技有限公司","大连润德兴业科技有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"90","广州杰赛电子有限公司","广州杰赛电子有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"91","苏州特斯特复合材料有限公司","苏州特斯特复合材料有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"92","昆山德拓祥电子科技有限公司","昆山德拓祥电子科技有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"93","南京乐金汽车零部件有限公司","南京乐金汽车零部件有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"94","苏州新纶超净技术有限公司","苏州新纶超净技术有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"95","康普通联通信（苏州）有限公司","康普通联通信（苏州）有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"96","安徽省宁国市天成电气有限公司","安徽省宁国市天成电气有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"97","无锡飞翎电子有限公司","无锡飞翎电子有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"98","盛威尔（惠州）电缆科技有限公司","盛威尔（惠州）电缆科技有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"99","武汉中元通信股份有限公司","武汉中元通信股份有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"100","江苏迪飞达电子有限公司","江苏迪飞达电子有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"101","苏州世豪安全用品有限公司","苏州世豪安全用品有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"102","南京乐金储能技术有限公司","南京乐金储能技术有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"103","无锡小天鹅电器有限公司","无锡小天鹅电器有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"104","瑞声光电科技（常州）有限公司","瑞声光电科技（常州）有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"105","沭阳瑞泰科技有限公司","沭阳瑞泰科技有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"106","安徽毅昌科技有限公司","安徽毅昌科技有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"107","上海绿联软件股份有限公司","上海绿联软件股份有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"108","苏州市晋元紧固件有限公司","苏州市晋元紧固件有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"109","安弗施巴西电信有限公司","安弗施巴西电信有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
